LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EU27_2020,HUR,TOT,PC_LF,M,2020-11,7.3,
EU27_2020,HUR,TOT,PC_LF,M,2020-12,7.4,
EU27_2020,HUR,TOT,PC_LF,M,2021-01,7.5,
EU27_2020,HUR,TOT,PC_LF,M,2021-02,7.5,
EU27_2020,HUR,TOT,PC_LF,M,2021-03,7.4,
EU27_2020,HUR,TOT,PC_LF,M,2021-04,7.4,
EU27_2020,HUR,TOT,PC_LF,M,2021-05,7.3,
EU27_2020,HUR,TOT,PC_LF,M,2021-06,7.1,
EU27_2020,HUR,TOT,PC_LF,M,2021-07,6.9,
EU27_2020,HUR,TOT,PC_LF,M,2021-08,6.9,
EU27_2020,HUR,TOT,PC_LF,M,2021-09,6.7,
EU27_2020,HUR,TOT,PC_LF,M,2021-10,6.7,
